Job Title,Company,Location
Data Analyst,PepsiCo,"Gurugram, Haryana, India"
Data Analyst,EaseMyTrip.com,"Mumbai, Maharashtra, India"
Advance Analytics,Pidilite Industries Limited,"Mumbai, Maharashtra, India"
Analyst-Data Analytics,American Express,"Gurugram, Haryana, India"
Business Intelligence Specialist,National Payments Corporation Of India (NPCI),Mumbai Metropolitan Region
Data Analyst,noon,"Delhi, India"
"Data Analyst, Staff",Qualcomm,"Bengaluru, Karnataka, India"
"Data Analyst, Labs",DoorDash,"Hyderabad, Telangana, India"
"Data Analyst, Staff",Qualcomm,"Bengaluru, Karnataka, India"
Power BI,KPMG India,"Bengaluru, Karnataka, India"
Product Data Analyst,Airtel Digital,"Gurugram, Haryana, India"
Data Analyst,EXL,"Hyderabad, Telangana, India"
Data Analyst,Infosys,"Bengaluru East, Karnataka, India"
HR Data Analyst,Unacademy,"Bengaluru, Karnataka, India"
Data Analyst,L&T Technology Services,"Vadodara, Gujarat, India"
Analyst-Data Science & Strategy,American Express,"Gurugram, Haryana, India"
Healthcare Data Analyst,Infosys,"Bengaluru East, Karnataka, India"
Data Analyst,Wipro,Greater Kolkata Area
Data Analyst (Power BI),Magna International,"Bengaluru East, Karnataka, India"
"Data Analyst (Python, SQL, Power BI)",Gainwell Technologies,"Bengaluru, Karnataka, India"
Data Analyst,Fiserv,"Thane, Maharashtra, India"
Data Analyst - L4,Wipro,"Bengaluru, Karnataka, India"
Junior Data Analyst,Logitech,"Chennai, Tamil Nadu, India"
Data Analyst,EXL,"Gurugram, Haryana, India"
Data Analyst,Virtusa,"Bangalore Urban, Karnataka, India"
Data Analyst - Pharmaceutical,Takeda,"Bengaluru, Karnataka, India"
Data Analyst II,Honeywell,"Bengaluru, Karnataka, India"
Business Intelligence Analyst,MSI,"Bengaluru, Karnataka, India"
Analyst-Data Analytics,American Express,"Gurgaon, Haryana, India"
Data Analyst,Infosys,"Bengaluru East, Karnataka, India"
Data Analyst,MResult,"Bengaluru, Karnataka, India"
Business Intelligence and Reporting,EY,"Gurugram, Haryana, India"
Business Intelligence and Reporting,EY,"Bengaluru, Karnataka, India"
Insight Analyst,American Express Global Business Travel,"Gurgaon, Haryana, India"
Data Analyst,Reliance Industries Limited,"Jamnagar, Gujarat, India"
Data Analyst 2,Acko,"Bengaluru, Karnataka, India"
Associate Business Finance (Data Analyst),Cleartrip,"Bengaluru, Karnataka, India"
Data Associate,S&P Global,"Mumbai, Maharashtra, India"
Data Analyst,TELUS Digital,"Gandhinagar, Gujarat, India"
Data Analyst - L4,Wipro,"Hyderabad, Telangana, India"
Data analyst,Virtusa,"Pune, Maharashtra, India"
Business Data Analyst,Capco,"Maharashtra, India"
Data Analyst,Taggd,"Gurugram, Haryana, India"
Data Analyst 2,Zynga,"Bengaluru, Karnataka, India"
Data Analyst,Randstad,"Bengaluru, Karnataka, India"
Reporting Analyst,Korn Ferry,"Bangalore Urban, Karnataka, India"
"Data Analyst II, SMART",Wayfair,"Bengaluru, Karnataka, India"
Data Analyst - Regulatory Reporting,Capco,"Hyderabad, Telangana, India"
Data Analyst,Wissen Technology,"Bengaluru, Karnataka, India"
Data Analyst,TP,"Gurugram, Haryana, India"
Analyst - Data & BI,Chubb,"Bengaluru, Karnataka, India"
Data Analyst,Michelin,"Pune, Maharashtra, India"
Data Analyst [T500-16842],Talent500,"Bengaluru, Karnataka, India"
Senior Data Analyst,Capco,"Bengaluru, Karnataka, India"
IN_Associate_Data Analyst_Data & Analytics_Advisory_PAN India,PwC India,"Bengaluru, Karnataka, India"
Data Analyst-2,Games24x7,"Bengaluru, Karnataka, India"
Analyst,slice,"Bengaluru, Karnataka, India"
Data Analyst,Recro,"Bengaluru, Karnataka, India"
Data Analyst,HP,"Bengaluru, Karnataka, India"
Data Analyst,Infosys,"Bengaluru East, Karnataka, India"
