Skill,Repo,Description,Stars
Python,Alibaba-NLP/WebAgent,🌐 WebAgent for Information Seeking built by Tongyi Lab: WebWalker & WebDancer & WebSailor https://arxiv.org/pdf/2507.02592,
Python,snap-stanford/Biomni,Biomni: a general-purpose biomedical AI agent,
Python,goauthentik/authentik,The authentication glue you need.,
Python,LMCache/LMCache,Supercharge Your LLM with the Fastest KV Cache Layer,
Python,landing-ai/agentic-doc,Python library for Agentic Document Extraction from LandingAI,
Python,getsentry/sentry,Developer-first error tracking and performance monitoring,
Python,unslothai/unsloth,"Fine-tuning & Reinforcement Learning for LLMs. 🦥 Train Qwen3, Llama 4, DeepSeek-R1, Gemma 3, TTS 2x faster with 70% less VRAM.",
Python,volcengine/verl,verl: Volcano Engine Reinforcement Learning for LLMs,
Python,awslabs/mcp,"AWS MCP Servers — helping you get the most out of AWS, wherever you use MCP.",
Python,browser-use/macOS-use,Make Mac apps accessible for AI agents,
Python,healthchecks/healthchecks,"Open-source cron job and background task monitoring service, written in Python & Django",
Python,m-bain/whisperX,WhisperX: Automatic Speech Recognition with Word-level Timestamps (& Diarization),
Python,donnemartin/system-design-primer,Learn how to design large-scale systems. Prep for the system design interview. Includes Anki flashcards.,
Python,RapidAI/RapidOCR,"📄 Awesome OCR multiple programing languages toolkits based on ONNXRuntime, OpenVINO, PaddlePaddle and PyTorch.",
Python,ocrmypdf/OCRmyPDF,"OCRmyPDF adds an OCR text layer to scanned PDF files, allowing them to be searched",
