date,trend,skill
2024-07-07,91,Python
2024-07-14,93,Python
2024-07-21,91,Python
2024-07-28,85,Python
2024-08-04,85,Python
2024-08-11,83,Python
2024-08-18,89,Python
2024-08-25,87,Python
2024-09-01,92,Python
2024-09-08,96,Python
2024-09-15,93,Python
2024-09-22,100,Python
2024-09-29,87,Python
2024-10-06,97,Python
2024-10-13,98,Python
2024-10-20,99,Python
2024-10-27,88,Python
2024-11-03,89,Python
2024-11-10,98,Python
2024-11-17,98,Python
2024-11-24,95,Python
2024-12-01,99,Python
2024-12-08,91,Python
2024-12-15,87,Python
2024-12-22,68,Python
2024-12-29,64,Python
2025-01-05,89,Python
2025-01-12,87,Python
2025-01-19,90,Python
2025-01-26,96,Python
2025-02-02,93,Python
2025-02-09,91,Python
2025-02-16,93,Python
2025-02-23,93,Python
2025-03-02,93,Python
2025-03-09,88,Python
2025-03-16,95,Python
2025-03-23,88,Python
2025-03-30,86,Python
2025-04-06,84,Python
2025-04-13,81,Python
2025-04-20,80,Python
2025-04-27,76,Python
2025-05-04,75,Python
2025-05-11,76,Python
2025-05-18,78,Python
2025-05-25,73,Python
2025-06-01,77,Python
2025-06-08,83,Python
2025-06-15,83,Python
2025-06-22,80,Python
2025-06-29,72,Python
2025-07-06,65,Python
2024-07-07,94,SQL
2024-07-14,97,SQL
2024-07-21,100,SQL
2024-07-28,95,SQL
2024-08-04,94,SQL
2024-08-11,83,SQL
2024-08-18,95,SQL
2024-08-25,90,SQL
2024-09-01,90,SQL
2024-09-08,97,SQL
2024-09-15,92,SQL
2024-09-22,93,SQL
2024-09-29,93,SQL
2024-10-06,91,SQL
2024-10-13,87,SQL
2024-10-20,95,SQL
2024-10-27,85,SQL
2024-11-03,87,SQL
2024-11-10,93,SQL
2024-11-17,95,SQL
2024-11-24,87,SQL
2024-12-01,92,SQL
2024-12-08,91,SQL
2024-12-15,85,SQL
2024-12-22,55,SQL
2024-12-29,54,SQL
2025-01-05,81,SQL
2025-01-12,83,SQL
2025-01-19,91,SQL
2025-01-26,90,SQL
2025-02-02,94,SQL
2025-02-09,87,SQL
2025-02-16,89,SQL
2025-02-23,91,SQL
2025-03-02,89,SQL
2025-03-09,87,SQL
2025-03-16,90,SQL
2025-03-23,88,SQL
2025-03-30,81,SQL
2025-04-06,83,SQL
2025-04-13,77,SQL
2025-04-20,77,SQL
2025-04-27,69,SQL
2025-05-04,77,SQL
2025-05-11,83,SQL
2025-05-18,80,SQL
2025-05-25,72,SQL
2025-06-01,77,SQL
2025-06-08,78,SQL
2025-06-15,82,SQL
2025-06-22,73,SQL
2025-06-29,68,SQL
2025-07-06,52,SQL
2024-07-07,94,Power BI
2024-07-14,97,Power BI
2024-07-21,100,Power BI
2024-07-28,90,Power BI
2024-08-04,90,Power BI
2024-08-11,88,Power BI
2024-08-18,90,Power BI
2024-08-25,91,Power BI
2024-09-01,91,Power BI
2024-09-08,86,Power BI
2024-09-15,92,Power BI
2024-09-22,91,Power BI
2024-09-29,92,Power BI
2024-10-06,86,Power BI
2024-10-13,88,Power BI
2024-10-20,93,Power BI
2024-10-27,80,Power BI
2024-11-03,85,Power BI
2024-11-10,89,Power BI
2024-11-17,91,Power BI
2024-11-24,84,Power BI
2024-12-01,82,Power BI
2024-12-08,85,Power BI
2024-12-15,80,Power BI
2024-12-22,49,Power BI
2024-12-29,50,Power BI
2025-01-05,78,Power BI
2025-01-12,89,Power BI
2025-01-19,91,Power BI
2025-01-26,95,Power BI
2025-02-02,95,Power BI
2025-02-09,94,Power BI
2025-02-16,94,Power BI
2025-02-23,94,Power BI
2025-03-02,86,Power BI
2025-03-09,93,Power BI
2025-03-16,95,Power BI
2025-03-23,92,Power BI
2025-03-30,90,Power BI
2025-04-06,91,Power BI
2025-04-13,78,Power BI
2025-04-20,83,Power BI
2025-04-27,78,Power BI
2025-05-04,81,Power BI
2025-05-11,83,Power BI
2025-05-18,89,Power BI
2025-05-25,81,Power BI
2025-06-01,84,Power BI
2025-06-08,88,Power BI
2025-06-15,88,Power BI
2025-06-22,85,Power BI
2025-06-29,79,Power BI
2025-07-06,56,Power BI
2024-07-07,94,AWS
2024-07-14,95,AWS
2024-07-21,96,AWS
2024-07-28,95,AWS
2024-08-04,94,AWS
2024-08-11,84,AWS
2024-08-18,93,AWS
2024-08-25,89,AWS
2024-09-01,88,AWS
2024-09-08,93,AWS
2024-09-15,88,AWS
2024-09-22,91,AWS
2024-09-29,86,AWS
2024-10-06,89,AWS
2024-10-13,86,AWS
2024-10-20,89,AWS
2024-10-27,82,AWS
2024-11-03,89,AWS
2024-11-10,85,AWS
2024-11-17,91,AWS
2024-11-24,85,AWS
2024-12-01,95,AWS
2024-12-08,94,AWS
