skill,title,company,location
Python,Python Developer,Infosys,"Bengaluru East, Karnataka, India"
Python,Python developer,Infosys,"Bengaluru East, Karnataka, India"
Python,Python Developer,Infosys,
SQL,SQL Developer,Easebuzz,"Pune, Maharashtra, India"
SQL,Data Scientist,Flipkart,"Bengaluru, Karnataka, India"
SQL,ICICI Securities - Data Analyst - SQL/Python,ICICIDirect,"Navi Mumbai, Maharashtra, India"
Power BI,Business Intelligence (BI) Developer,Reliance Industries Limited,"Navi Mumbai, Maharashtra, India"
Power BI,Senior Role Business Analytics & Insights,National Payments Corporation Of India (NPCI),"Mumbai, Maharashtra, India"
Power BI,PowerBI Developer,LTIMindtree,"Hyderabad, Telangana, India"
Excel,Data Analyst,Deloitte,"Delhi, India"
Excel,Executive Assistant,Microsoft,"Bangalore Urban, Karnataka, India"
Excel,Business Operations Analyst,PhonePe,
React,Front-End Engineer I,Amazon,"Bengaluru, Karnataka, India"
React,Front-End Engineer I,Amazon,"Bengaluru, Karnataka, India"
React,"Software Engineer, Frontend",DoorDash,"Pune, Maharashtra, India"
AWS,Consultant,KPMG India,"Bengaluru, Karnataka, India"
AWS,AWS Administrator,Infosys,"Bengaluru East, Karnataka, India"
AWS,AWS Administrator,Infosys,
Machine Learning,Data Scientist,KPMG India,"Bengaluru, Karnataka, India"
Machine Learning,Data Scientist,Flipkart,"Bengaluru, Karnataka, India"
Machine Learning,AI/ML,Infosys,
